21:21,42,63,84,105,126,147,168,189,210,
22:22,44,66,88,110,132,154,176,198,220,
23:23,46,69,92,115,138,161,184,207,230,
24:24,48,72,96,120,144,168,192,216,240,
25:25,50,75,100,125,150,175,200,225,250,
26:26,52,78,104,130,156,182,208,234,260,
27:27,54,81,108,135,162,189,216,243,270,
28:28,56,84,112,140,168,196,224,252,280,
29:29,58,87,116,145,174,203,232,261,290,
30:30,60,90,120,150,180,210,240,270,300,
31:31,62,93,124,155,186,217,248,279,310,
32:32,64,96,128,160,192,224,256,288,320,
33:33,66,99,132,165,198,231,264,297,330,
34:34,68,102,136,170,204,238,272,306,340,
35:35,70,105,140,175,210,245,280,315,350,
36:36,72,108,144,180,216,252,288,324,360,
37:37,74,111,148,185,222,259,296,333,370,
38:38,76,114,152,190,228,266,304,342,380,
39:39,78,117,156,195,234,273,312,351,390,
40:40,80,120,160,200,240,280,320,360,400,
